episode,score,total_reward,epsilon,avg_loss
1,0,3.2,1.0,0.0
2,0,3.0,0.9001,0.030682
3,0,3.3,0.7219,0.02062
4,0,3.0,0.5878,0.031357
5,0,3.2,0.4738,0.026141
6,0,3.1,0.3839,0.035605
7,0,3.0,0.3126,0.031368
8,0,3.0,0.2545,0.039759
9,0,3.0,0.2072,0.026501
10,0,3.4,0.1654,0.033419
11,0,2.9,0.1353,0.029228
12,0,3.0,0.1102,0.03
13,0,3.2,0.0888,0.032373
14,0,3.6,0.0702,0.033704
15,0,8.8,0.0427,0.02486
16,0,2.9,0.035,0.014826
17,0,3.1,0.0283,0.017775
18,0,2.8,0.0233,0.012618
19,0,2.8,0.0192,0.012157
20,0,3.1,0.0155,0.007955
21,0,2.9,0.0127,0.007076
22,0,2.9,0.0104,0.005956
23,0,9.2,0.01,0.003105
24,0,3.0,0.01,0.001706
25,0,10.3,0.01,0.001116
26,0,2.5,0.01,0.000906
27,0,3.6,0.01,0.00732
28,0,11.2,0.01,0.007005
29,0,9.2,0.01,0.005507
30,0,9.4,0.01,0.009915
31,0,9.5,0.01,0.00944
32,0,6.7,0.01,0.015487
33,0,8.9,0.01,0.006981
34,0,8.7,0.01,0.003633
35,0,9.2,0.01,0.002162
36,0,10.8,0.01,0.003268
37,0,12.5,0.01,0.002052
38,0,12.5,0.01,0.007352
39,0,12.5,0.01,0.010125
40,0,12.5,0.01,0.007484
41,0,2.5,0.01,0.018187
42,0,12.5,0.01,0.02442
43,0,12.5,0.01,0.024779
44,0,12.5,0.01,0.017368
45,0,12.5,0.01,0.028236
46,0,12.5,0.01,0.026399
47,0,13.8,0.01,0.027819
48,0,12.5,0.01,0.031478
49,0,14.1,0.01,0.026622
50,0,12.5,0.01,0.019778
51,0,12.5,0.01,0.025787
52,0,12.5,0.01,0.033077
53,0,12.5,0.01,0.026792
54,0,12.5,0.01,0.026472
55,0,12.5,0.01,0.033353
56,0,12.5,0.01,0.028343
57,0,12.8,0.01,0.027169
58,0,12.5,0.01,0.027366
59,0,12.5,0.01,0.025054
60,0,12.5,0.01,0.026035
61,0,12.5,0.01,0.029367
62,0,12.5,0.01,0.02378
63,0,12.5,0.01,0.02382
64,0,12.5,0.01,0.028927
65,0,12.5,0.01,0.024935
66,0,12.5,0.01,0.018172
67,0,12.5,0.01,0.017573
68,0,12.7,0.01,0.019256
69,0,12.5,0.01,0.010738
70,0,12.5,0.01,0.014094
71,0,12.5,0.01,0.013429
72,0,12.6,0.01,0.022435
73,0,12.5,0.01,0.013249
74,0,12.5,0.01,0.012636
75,0,12.5,0.01,0.013553
76,0,13.5,0.01,0.009904
77,0,13.0,0.01,0.01783
78,0,12.5,0.01,0.025234
79,0,12.5,0.01,0.017315
80,0,12.5,0.01,0.015178
81,0,12.5,0.01,0.018527
82,1,14.7,0.01,0.006234
83,0,12.5,0.01,0.010042
84,0,14.1,0.01,0.01411
85,0,12.5,0.01,0.00825
86,0,12.5,0.01,0.015103
87,0,13.0,0.01,0.002778
88,0,13.1,0.01,0.021599
89,0,12.5,0.01,0.014372
90,0,12.8,0.01,0.011343
91,0,13.0,0.01,0.001564
92,0,12.5,0.01,0.008263
93,0,12.5,0.01,0.019062
94,0,12.5,0.01,0.019507
95,0,12.5,0.01,0.002057
96,0,12.9,0.01,0.002712
97,0,12.5,0.01,0.020521
98,0,12.5,0.01,0.002146
99,0,13.1,0.01,0.010692
100,0,12.5,0.01,0.018205
101,0,12.7,0.01,0.01247
102,0,12.5,0.01,0.007946
103,0,12.5,0.01,0.007149
104,0,12.5,0.01,0.008108
105,0,12.5,0.01,0.00791
106,0,12.5,0.01,0.007061
107,0,12.5,0.01,0.012118
108,0,12.5,0.01,0.001239
109,0,12.5,0.01,0.01288
110,0,12.5,0.01,0.007127
111,0,13.2,0.01,0.012351
112,0,12.5,0.01,0.007153
113,0,12.6,0.01,0.006996
114,0,13.1,0.01,0.007197
115,0,13.3,0.01,0.001069
116,0,13.5,0.01,0.001137
117,0,13.5,0.01,0.001602
118,0,13.7,0.01,0.001588
119,0,12.5,0.01,0.001196
